room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
Private room,Newham,Forest Gate South,6,5,1,1,38,51.543278,0.012534
Private room,Tower Hamlets,Poplar,2,0,1,1,29,51.510294,-0.02509
Private room,Tower Hamlets,Mile End,0,0,1,1,37,51.513652,-0.026806
Private room,Tower Hamlets,Mile End,22,4.5,2,1,39,51.514629,-0.027068
Private room,Tower Hamlets,Lansbury,2,0,2,1,38,51.512912,-0.021744
Private room,Tower Hamlets,Lansbury,0,0,2,1,38,51.51107,-0.01896
Private room,Tower Hamlets,Bow East,4,5,3,1,36,51.537343,-0.021922
Private room,Tower Hamlets,Poplar,1,0,2,1,20,51.511239,-0.024647
Private room,Tower Hamlets,Mile End,4,5,2,1,36,51.512046,-0.025187
Private room,Tower Hamlets,Mile End,9,5,2,1,37,51.511868,-0.024213
Private room,Newham,West Ham,0,0,2,1,37,51.528966,0.005768
Private room,Tower Hamlets,Blackwall & Cubitt Town,1,0,1,1,32,51.499574,-0.008517
Private room,Tower Hamlets,Poplar,6,4.5,1,1,38,51.508611,-0.010646
Private room,Tower Hamlets,Lansbury,0,0,2,1,32,51.517896,-0.014966
Private room,Tower Hamlets,Canary Wharf,0,0,1,1,32,51.499769,-0.0245
Private room,Tower Hamlets,Lansbury,5,3.5,1,1,38,51.512934,-0.010747
Private room,Tower Hamlets,Canary Wharf,1,0,2,1,39,51.498566,-0.024757
Private room,Hackney,Hackney Wick,3,5,2,1,37,51.544235,-0.024666
Private room,Newham,West Ham,12,4.5,2,1,32,51.533157,0.012538
Private room,Tower Hamlets,Canary Wharf,2,0,1,1,38,51.503895,-0.027317
Private room,Tower Hamlets,Bow East,0,0,2,1,36,51.532382,-0.0264
Private room,Tower Hamlets,Lansbury,0,0,1,1,38,51.517883,-0.013705
Private room,Tower Hamlets,Mile End,1,0,2,1,32,51.512784,-0.023485
Private room,Tower Hamlets,Blackwall & Cubitt Town,6,4,2,1,40,51.50354,-0.007869
Private room,Tower Hamlets,Mile End,6,4.5,2,1,38,51.511073,-0.021023
Private room,Tower Hamlets,Poplar,105,4.5,2,1,38,51.508766,-0.012816
Private room,Newham,Canning Town North,0,0,1,1,32,51.516857,0.009696
Private room,Tower Hamlets,Lansbury,3,4.5,2,1,39,51.517442,-0.011291
Private room,Tower Hamlets,Poplar,1,0,2,1,32,51.50844,-0.017238
Private room,Tower Hamlets,Poplar,93,4,4,1,38,51.508222,-0.01275
Private room,Tower Hamlets,Mile End,0,0,2,1,37,51.517824,-0.023337
Private room,Tower Hamlets,Canary Wharf,11,4,1,1,32,51.501321,-0.02487
Private room,Tower Hamlets,Bow East,1,0,1,1,31,51.5381,-0.027579
Private room,Tower Hamlets,Poplar,6,4.5,2,1,36,51.508314,-0.019711
Private room,Tower Hamlets,Bromley South,11,5,1,1,31,51.521168,-0.022625
Private room,Newham,Canning Town South,0,0,2,1,38,51.514803,0.019756
